Mes,Dia,Year,Hora,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
9,14,2022,909,5611,5227,6,4,1,20
4,23,2022,604,82,76,0,0,0,1
2,21,2023,542,8572,5179,53,3,4,60
9,24,2022,789,8059,7775,4,10,1,141
9,28,2022,729,4375,4053,1,2,1,29
12,14,2023,1032,5612,4795,0,0,498,48
12,7,2023,852,3616,2641,7,4,128,76
12,16,2022,552,3096,2204,0,0,1,3
4,12,2023,664,4221,3776,0,2,873,13
4,27,2022,1024,150,136,0,1,0,1
9,22,2022,1269,2914,2715,0,2,1,24
8,18,2023,488,3305,2726,0,5,39,7
5,18,2023,845,7793,5307,1,8,601,40
2,10,2023,542,1582,1267,4,0,0,4
11,6,2023,971,6586,6149,1,1,524,104
8,24,2023,728,2871,2411,0,1,71,4
4,12,2023,784,9142,5728,4,3,1877,84
3,29,2022,543,48,45,0,0,0,0
5,24,2023,1205,3207,2480,0,2,244,79
10,13,2023,550,2942,2545,0,0,161,3
1,14,2022,721,31,30,0,1,0,6
12,11,2023,972,13113,9811,5,14,1298,114
9,22,2022,1089,1457,1314,0,0,1,2
5,18,2023,545,2354,1995,0,0,130,12
3,8,2023,843,2217,1867,28,0,2,30
11,4,2022,851,8130,7388,15,10,1,160
6,14,2023,486,4018,3041,0,2,94,39
10,24,2023,910,2987,2776,1,0,102,45
8,31,2023,848,4213,3439,3,4,156,36
2,10,2022,1082,109,100,0,3,3,28
8,22,2023,608,3155,2896,0,0,172,0
11,12,2023,971,10240,8955,31,14,1586,372
9,26,2022,789,862,782,0,2,1,2
4,13,2023,604,2530,2264,2,0,445,15
10,19,2023,910,1295,1131,0,2,85,2
4,30,2023,1084,1938,1725,0,2,21,25
10,18,2023,910,3390,2946,5,8,114,35
11,3,2023,1031,2,2,1,0,0,39
2,25,2022,842,69,67,0,0,4,0
1,27,2023,661,6434,5744,27,0,0,27
1,31,2022,1021,381,333,0,10,21,28
6,7,2023,546,2249,1646,0,0,20,1
3,11,2022,1143,49,49,0,0,0,17
8,10,2023,488,1930,1691,0,1,70,3
6,6,2023,546,6842,6188,9,2,576,128
11,24,2022,971,8325,6274,9,8,1,76
9,20,2023,609,2446,2213,2,4,39,13
2,14,2022,1022,90,70,3,3,3,21
10,18,2023,610,1785,1641,0,1,13,2
10,11,2023,670,2430,2255,0,0,27,1
8,1,2023,488,5094,4157,3,0,597,3
5,29,2023,605,2489,1993,0,0,52,1
5,24,2023,725,3627,2976,0,4,121,11
12,22,2023,672,2427,1772,0,0,4,8
2,7,2023,602,2010,1775,7,0,0,7
2,22,2023,722,11094,8261,218,1,6,225
8,16,2023,968,2073,1716,1,0,52,13
12,15,2023,732,2153,1628,3,0,29,17
2,7,2023,542,1609,1305,4,0,2,6
5,23,2022,485,588,503,0,0,0,1
4,18,2023,544,3236,2715,5,6,86,37
8,28,2023,548,3670,3154,2,2,204,5
9,6,2023,1149,2141,1905,0,0,27,10
2,25,2022,662,29,29,0,0,0,0
1,2,2023,541,9118,6671,30,4,7,41
2,20,2023,902,5256,4754,58,1,2,61
8,10,2023,668,2172,1895,0,2,11,6
3,10,2022,543,61,61,0,1,1,5
10,24,2022,610,2037,1862,0,2,1,4
3,16,2022,603,45,41,0,1,2,2
4,25,2023,964,2189,1972,0,0,112,5
5,18,2023,905,6951,4541,1,3,760,42
5,15,2022,485,404,344,0,4,0,4
6,10,2022,546,3532,1935,0,0,16,0
5,12,2023,545,2143,1604,0,0,8,1
3,21,2023,543,4133,3854,42,1,2,45
1,24,2022,781,90,85,31,4,24,38
3,15,2022,903,108,99,4,8,2,3
3,1,2023,1023,4042,3802,21,6,1,28
6,29,2022,1026,5763,3412,0,4,107,6
2,11,2022,962,32,30,0,2,1,11
2,4,2022,1022,353,326,0,7,14,5
10,11,2023,670,3096,2685,0,0,237,8
3,29,2022,543,50,46,1,0,2,1
4,13,2023,664,2311,1941,1,1,346,17
1,23,2023,601,1687,1452,6,1,0,7
2,21,2023,602,3151,2811,1,1,1,3
12,18,2023,972,3121,2507,0,0,141,11
3,13,2023,843,2984,2652,10,0,5,15
9,27,2022,669,2584,2304,0,5,1,14
11,22,2023,791,2374,2011,1,1,25,1
3,11,2022,1083,43,42,0,1,0,4
8,18,2023,788,3918,3370,0,3,179,30
3,31,2022,1083,50,47,0,0,0,0
9,29,2022,849,1297,1164,0,1,1,1
11,1,2022,611,6367,6111,7,5,1,120
11,28,2023,911,3138,2788,0,0,56,7
10,6,2023,550,1398,1169,0,0,4,5
3,4,2022,663,41,41,0,0,2,30
9,22,2022,849,1011,918,0,1,1,25
11,14,2023,491,2482,2279,0,2,24,1
9,12,2022,549,2148,1890,0,0,1,9
10,6,2023,1030,2286,1910,0,0,25,4
2,25,2022,662,62,59,0,1,0,1
4,18,2022,724,71,66,0,0,0,1
4,13,2023,724,1164,972,1,0,39,9
9,24,2023,669,4195,3907,0,2,475,25
11,24,2023,911,6560,5586,3,6,759,47
3,22,2022,1203,46,44,0,0,0,1
11,6,2023,731,3898,3555,1,0,143,27
11,14,2023,731,2046,1768,1,0,8,19
6,16,2023,726,3594,2685,2,1,74,5
5,23,2023,1145,2439,1998,2,3,187,39
9,7,2023,489,1386,1238,0,0,14,0
9,26,2022,669,3188,3094,1,4,1,15
8,9,2023,668,1576,1380,0,1,17,4
6,26,2023,486,2419,1938,0,0,104,6
2,7,2023,482,1147,961,1,0,0,1
11,10,2023,671,1778,1619,0,1,30,1
10,19,2023,610,1305,1159,0,0,25,13
12,21,2023,672,2830,2147,0,0,22,4
2,17,2023,782,5021,4382,16,3,0,19
11,23,2023,731,2861,2601,0,1,80,30
5,11,2023,725,2775,2167,0,1,54,4
9,11,2023,969,3731,3329,0,0,160,25
5,26,2022,965,2071,1652,7,8,67,39
6,3,2022,1026,10918,6809,14,19,1059,86
4,26,2022,1024,86,81,0,0,0,1
10,19,2023,670,2659,2006,6,15,74,58
6,13,2023,846,2649,1953,1,5,43,9
5,18,2023,905,2062,1610,0,2,21,0
3,8,2023,903,6831,6100,53,2,3,58
3,23,2022,663,43,41,0,0,0,4
10,28,2022,550,3511,3131,0,5,1,13
4,12,2023,1024,2607,2474,1,0,98,4
2,10,2022,662,42,41,0,2,0,2
10,27,2023,1030,2562,2282,1,2,53,3
9,8,2023,729,1070,900,0,0,1,2
2,1,2023,542,3714,2929,14,1,8,23
9,21,2023,1209,6931,6099,11,3,1390,147
2,1,2022,782,22,22,0,0,0,0
5,11,2023,725,4945,4120,13,1,373,26
4,18,2022,844,73,67,1,0,0,1
11,14,2023,491,2806,2477,0,1,91,6
1,23,2023,661,1995,1803,1,0,0,1
9,5,2023,1029,1119,972,0,1,6,2
3,27,2023,963,4103,3555,25,0,1,26
5,13,2022,1025,390,341,1,0,0,0
2,27,2023,782,3587,3259,77,1,13,91
8,20,2023,548,4595,3789,0,5,422,18
10,18,2022,1150,1593,1483,0,1,1,14
8,15,2023,548,3125,2715,0,0,184,7
9,19,2022,669,5237,4655,1,9,1,53
9,13,2023,969,2735,2484,1,0,126,8
11,30,2023,1091,1742,1524,0,0,4,1
9,27,2022,909,2391,2310,0,1,1,3
5,19,2023,545,2107,1709,0,0,33,5
10,9,2023,1150,6417,5318,0,2,511,49
12,5,2022,612,4721,3471,4,2,1,13
6,28,2023,546,7187,5626,3,5,1102,72
5,17,2022,605,378,334,0,0,2,4
1,16,2023,1081,2489,1917,29,0,1,30
3,28,2022,603,49,46,3,0,0,21
8,24,2023,488,1827,1582,0,0,9,2
3,11,2022,1023,39,39,0,0,0,1
7,2,2023,787,3788,2855,0,0,17,17
9,21,2023,789,2470,2273,0,0,34,6
11,24,2023,1211,5791,5073,0,0,626,22
9,28,2022,489,897,834,0,1,1,1
6,14,2023,546,3297,2434,0,1,38,4
8,31,2023,1208,2174,1775,0,8,72,23
4,1,2023,664,2165,1933,2,0,158,21
6,14,2023,906,2583,1902,0,0,62,15
8,8,2023,728,4577,3975,1,2,281,50
3,30,2023,903,7108,6413,156,8,2,166
3,18,2022,903,670,563,0,0,19,1
1,25,2023,601,7290,6550,255,36,20,311
10,16,2023,670,2674,2354,1,3,81,19
6,8,2023,726,2495,1721,0,1,66,7
5,11,2023,605,2364,1845,4,2,46,9
12,16,2022,1032,4693,3418,0,0,1,41
10,7,2023,970,5370,4487,0,1,1010,51
11,25,2023,971,1970,1695,0,0,3,1
11,23,2023,551,2281,1993,0,1,19,5
5,29,2023,605,2658,2110,0,1,21,2
11,23,2022,851,2419,2107,0,4,1,7
5,31,2023,1085,4000,2959,0,4,60,6
2,25,2022,962,274,228,6,7,2,5
12,14,2022,792,7255,5256,19,4,2,136
4,10,2023,664,1997,1865,0,2,22,17
12,24,2023,1212,3835,2933,0,0,12,23
3,29,2023,1083,5345,5038,45,2,1,48
3,25,2023,783,5378,4946,45,0,0,451
5,18,2023,545,1827,1524,0,1,50,5
3,8,2023,543,4879,4523,24,0,7,31
10,28,2023,1150,3334,2929,0,2,550,16
2,13,2023,542,6896,6523,142,13,2,157
10,27,2023,970,0,0,0,0,0,23
3,27,2023,543,3264,3032,26,0,2,28
5,9,2023,545,3280,2528,0,1,75,8
10,28,2022,550,7883,7178,6,3,1,204
8,3,2023,488,8775,6533,6,4,1662,81
3,29,2022,603,130,102,0,1,5,0
8,14,2023,548,1855,1695,0,0,21,2
2,9,2022,902,39,39,0,1,2,2
3,9,2022,723,54,50,1,5,0,9
9,28,2022,489,1702,1623,1,2,1,5
3,10,2023,723,2487,2261,12,0,0,12
2,23,2023,842,1960,1791,2,0,0,2
9,6,2023,1149,4021,3690,0,1,224,43
8,25,2023,788,4398,3887,5,0,235,50
6,11,2023,846,2456,1693,1,1,137,12
9,30,2022,609,2690,2501,0,1,1,11
10,24,2022,550,2254,2204,1,0,1,2
2,24,2023,602,2179,1833,3,0,1,4
3,1,2022,1203,51,50,0,0,2,0
8,10,2023,668,2415,1959,0,2,21,9
5,17,2023,725,3553,2867,0,7,131,8
1,28,2023,721,1624,1416,9,0,0,9
12,20,2023,972,2919,2243,2,0,63,10
11,12,2023,1091,7474,6655,3,5,1391,96
3,18,2022,1083,44,41,0,0,1,1
6,20,2023,726,3833,2904,0,2,85,19
10,18,2023,610,1489,1382,0,0,7,1
6,12,2023,726,4002,3145,0,4,85,3
10,18,2023,910,1953,1677,3,7,23,18
12,11,2023,792,3105,2494,0,1,297,12
10,27,2023,970,2198,1910,0,0,124,3
2,8,2022,602,25,25,0,1,0,0
2,16,2022,962,27,27,0,0,1,0
3,1,2022,1023,36,35,0,1,0,3
5,9,2023,545,12746,9741,53,22,5974,67
4,26,2022,1024,95,89,0,0,0,0
5,19,2023,1025,3570,2929,1,0,291,32
4,10,2023,724,1208,1081,1,0,32,2
9,5,2023,1089,1536,1368,0,0,44,9
11,3,2023,1271,5084,4694,3,0,385,56
1,26,2022,841,25,25,0,0,0,2
1,12,2023,541,4231,3499,20,0,1,21
2,15,2022,482,381,337,17,9,16,19
5,18,2022,545,438,381,2,1,5,7
3,13,2023,963,4751,4299,35,0,6,41
9,26,2023,1029,2493,2184,0,0,139,12
4,25,2022,544,93,87,0,1,0,0
5,2,2023,725,6319,4196,12,14,928,101
1,29,2023,901,5515,4578,33,0,6,39
9,18,2023,489,3533,3264,0,6,150,28
2,14,2022,842,32,31,0,0,0,0
3,17,2022,663,42,40,0,0,0,0
5,29,2023,545,1894,1531,0,1,11,0
3,6,2023,1023,5165,4785,60,2,2,64
9,15,2022,1389,4506,4196,0,0,1,27
10,12,2022,610,4774,4203,4,4,1,134
1,10,2022,1021,58,53,0,1,6,7
5,12,2023,725,5011,3714,0,3,435,23
4,26,2022,724,194,174,0,1,2,3
5,6,2022,1025,202,184,0,0,0,0
4,4,2022,1144,58,55,0,0,1,0
2,8,2023,542,2608,2234,5,1,3,9
4,13,2023,604,1842,1617,4,0,40,7
2,1,2023,482,1298,1091,0,0,0,0
4,13,2023,604,2666,2518,9,4,179,75
3,8,2022,543,107,100,0,8,0,17
4,11,2023,844,3072,2815,0,0,274,6
5,3,2022,1025,180,160,0,1,0,4
10,28,2022,550,14435,12923,127,22,1,593
2,3,2022,542,27,27,0,1,0,8
3,9,2022,903,38,38,0,0,0,11
1,13,2023,781,4679,3941,8,0,1,9
5,18,2023,545,2446,2071,0,0,51,3
3,17,2022,543,238,219,0,3,7,2
4,5,2022,544,84,81,0,3,1,2
5,11,2023,785,2337,1737,0,1,18,3
5,25,2022,485,1139,909,0,2,10,4
5,23,2022,485,585,503,2,5,1,41
1,11,2023,601,6355,5408,16,4,3,23
9,28,2022,489,1097,1005,0,1,1,1
5,24,2023,545,2567,2178,0,0,71,3
2,8,2022,782,26,26,0,0,0,3
9,26,2022,549,3492,3211,1,7,1,102
12,8,2023,552,3334,2584,0,0,65,19
2,16,2022,602,30,30,0,0,0,0
8,1,2023,668,4478,4053,0,0,395,35
3,31,2022,723,53,49,0,0,2,6
10,24,2022,610,3638,3482,1,2,1,47
10,3,2023,550,4623,4082,0,7,519,38
6,14,2023,1026,5152,4180,5,1,226,47
4,26,2022,1024,89,83,0,0,1,0
5,31,2023,1085,2810,2118,3,8,69,12
12,4,2023,672,1823,1410,0,0,9,5
3,29,2022,603,56,54,0,0,0,21
7,3,2023,547,20416,15527,16,26,2326,398
11,16,2023,851,3450,3067,0,1,148,4
5,18,2022,1085,1374,1096,1,7,53,43
9,22,2022,849,1231,1033,1,7,1,24
5,26,2023,605,6089,4869,0,0,1046,26
8,21,2023,488,8081,6426,1,11,1239,82
12,24,2022,492,3466,2477,0,0,1,12
9,18,2023,969,2610,2360,0,0,58,8
4,20,2022,604,85,79,2,2,0,12
4,26,2022,1024,101,95,0,0,0,0
5,11,2023,605,1902,1418,0,0,16,0
4,29,2022,544,109,102,0,0,0,0
10,9,2023,730,2129,1959,0,0,23,2
5,2,2022,905,237,213,0,2,0,1
6,12,2023,846,5180,4127,3,2,425,52
10,11,2022,490,9635,8458,117,12,1,337
2,16,2023,1022,3921,3515,3,1,2,6
2,28,2023,842,2118,1902,11,0,1,12
4,8,2022,544,63,60,0,0,1,2
6,6,2023,1026,3986,3090,1,2,158,46
5,3,2022,785,151,139,0,1,0,2
6,29,2023,1086,6626,5744,10,4,679,30
2,11,2022,542,100,87,0,18,1,49
2,11,2023,1202,3610,3154,75,1,4,80
12,4,2023,552,5256,4150,2,4,375,50
2,2,2023,962,1949,1524,8,0,0,8
6,9,2022,906,16122,11495,11,19,1627,144
3,27,2022,963,225,195,1,10,4,12
8,10,2023,668,2957,2504,1,3,65,12
3,2,2023,903,9037,7090,92,12,8,112
6,7,2023,726,9828,7004,57,15,2058,174
4,18,2022,484,68,65,0,0,0,0
6,22,2023,786,4349,3434,0,2,245,5
10,23,2023,550,2076,1915,0,0,24,0
11,14,2023,491,8245,7026,11,4,1172,12
3,31,2023,903,2508,2267,57,1,2,60
3,11,2022,1023,98,95,0,0,4,16
3,13,2023,843,4940,4443,23,0,0,23
4,26,2023,1084,4451,4127,9,1,285,90
11,14,2023,491,2091,1867,0,0,11,2
5,24,2023,485,2352,1988,0,1,44,5
11,25,2023,971,2,2,1,0,0,2
6,27,2023,546,3091,2559,0,0,34,2
10,31,2023,610,1305,1161,0,0,11,2
8,25,2023,1328,2344,1928,0,0,147,15
1,3,2023,901,3193,2273,0,1,0,1
5,20,2022,485,463,397,0,0,1,1
7,1,2023,787,15359,12916,127,64,1395,600
6,29,2023,1086,6852,5881,11,6,869,51
3,24,2022,723,138,132,3,0,10,17
2,14,2023,1022,4219,3827,80,1,2,83
10,13,2023,550,2492,2181,0,1,50,4
6,21,2023,966,5919,4859,3,1,965,29
8,23,2023,1028,3382,3041,0,2,395,16
2,24,2023,602,1825,1528,5,0,1,6
5,24,2023,1025,3244,2580,1,5,67,16
11,10,2023,671,1636,1464,0,1,17,0
9,7,2023,909,5338,4880,2,2,717,127
2,16,2022,902,30,30,0,1,1,0
6,28,2023,666,3357,2745,0,1,41,2
8,3,2023,668,9483,7756,1,9,1608,37
5,23,2023,785,5347,4684,4,3,581,44
5,6,2022,545,318,260,4,4,12,6
6,6,2023,846,3737,2929,0,0,115,34
12,25,2022,12,5037,3515,0,1,1,99
6,29,2022,1026,4379,2577,0,3,32,2
4,26,2022,1024,100,94,0,0,2,0
10,17,2023,910,2341,2141,3,0,310,32
5,25,2023,965,3803,3168,0,0,465,13
5,24,2022,725,766,634,1,0,1,0
3,16,2023,1143,5218,3418,50,3,1,54
6,18,2022,606,5979,3808,5,1,201,65
5,30,2023,485,12527,10359,253,34,1909,709
10,16,2023,970,8242,7112,0,7,1795,61
6,22,2023,486,3631,2792,0,2,109,15
8,15,2023,848,1780,1554,0,0,0,1
3,29,2022,903,61,58,0,0,1,5
10,12,2022,550,2741,2267,11,21,1,83
4,20,2023,544,2065,1794,1,2,39,10
1,26,2022,1261,21,21,0,0,1,2
10,5,2023,970,3248,2693,3,5,273,32
2,28,2023,1022,2425,2219,4,0,0,4
9,28,2022,489,1410,1275,0,1,1,2
7,7,2023,667,5340,3893,0,0,97,15
3,31,2023,1203,8384,5432,86,3,7,96
9,11,2023,729,1818,1384,1,4,33,6
8,7,2023,968,1332,1162,0,0,5,5
2,1,2023,482,5480,5014,18,9,0,27
3,11,2022,663,145,134,12,8,7,47
2,24,2023,542,1863,1643,9,0,1,10
6,13,2023,606,7307,6132,17,7,768,198
2,8,2023,542,3414,2896,23,0,9,32
10,17,2022,910,2119,1977,0,1,1,6
6,13,2022,546,7172,4744,3,1,717,11
9,14,2022,909,1443,1216,0,2,1,5
8,8,2023,968,6202,5562,4,3,1160,15
3,23,2023,663,1511,1229,11,0,1,12
5,18,2023,785,11016,8044,18,9,2350,168
9,29,2022,849,1323,1207,0,1,1,1
6,13,2023,606,2659,2011,0,1,39,5
10,31,2023,1030,15431,13036,11,13,5000,281
12,7,2023,1032,5235,4487,40,0,266,88
2,7,2023,542,3867,3477,9,4,3,16
2,26,2023,602,1812,1533,6,1,0,7
9,13,2022,489,3550,3136,1,4,3,4
2,13,2023,722,3265,2929,6,1,0,7
4,10,2023,544,5753,5420,13,4,846,41
10,16,2023,1210,8116,6779,8,3,1584,89
4,10,2023,544,3548,2971,0,1,443,6
9,21,2023,849,7693,5437,2,18,88,17
11,15,2023,1031,3442,3058,6,1,222,57
1,24,2023,721,15113,11236,134,45,8,187
6,4,2023,786,4460,3720,0,2,329,8
2,24,2023,1142,4917,3504,134,18,18,170
3,29,2023,963,9842,6831,79,11,3,93
1,24,2023,721,3006,2792,10,0,2,12
4,26,2022,1024,88,83,0,0,0,0
9,30,2023,729,6482,6117,8,0,2152,92
3,4,2023,1143,4128,3834,28,1,2,31
4,26,2023,1084,1512,1360,0,0,15,0
10,23,2023,970,1366,1209,0,0,2,1
10,6,2023,490,2439,1833,0,10,48,15
9,29,2023,489,2710,2369,1,4,91,15
5,24,2023,905,2291,1880,0,1,24,4
2,16,2023,542,1494,1223,8,0,0,8
11,27,2023,731,7604,6412,15,8,705,123
4,1,2022,964,130,117,0,3,28,1
8,14,2023,728,3645,3058,0,8,98,23
7,31,2023,1267,3488,3126,0,0,93,8
4,1,2022,904,61,58,0,1,1,3
8,2,2023,488,3074,2656,0,2,205,5
7,31,2023,787,2811,2504,0,1,33,3
3,31,2022,903,51,48,0,0,0,17
3,17,2023,723,11081,6147,81,2,1,84
1,19,2023,661,2179,1813,7,0,0,7
3,31,2023,1143,9562,6680,134,0,4,138
5,24,2023,905,3225,2696,0,1,150,7
3,6,2023,543,3126,2847,6,0,1,7
10,5,2023,1030,10432,6561,1,22,871,78
8,7,2023,908,2863,2630,0,0,110,14
11,2,2023,971,1942,1753,0,0,6,12
10,17,2023,730,1973,1830,0,0,26,8
4,11,2023,544,3937,3660,2,1,314,11
5,2,2022,905,121,113,0,0,0,0
2,13,2023,1142,9359,7368,60,8,3,71
2,16,2022,1022,37,37,1,0,3,2
11,16,2023,1091,1857,1503,0,0,27,18
5,27,2022,725,1783,1309,0,0,15,1
4,26,2023,1084,1273,1114,0,0,18,1
9,19,2023,549,2229,2068,1,1,27,8
9,26,2022,849,2767,2645,2,2,1,11
4,13,2023,544,1822,1679,0,0,40,1
12,1,2023,492,1766,1432,0,0,13,7
8,8,2022,488,4845,4053,3,21,1,14
9,26,2022,789,1685,1595,0,3,1,7
4,26,2022,1024,82,77,0,0,0,3
1,20,2022,781,50,44,0,2,0,22
3,22,2022,843,75,69,0,0,9,5
3,2,2023,843,1715,1528,4,2,0,6
9,26,2022,789,3511,3397,1,2,1,24
5,17,2023,725,2091,1702,0,1,21,4
5,4,2023,905,10620,6594,8,18,1932,177
6,22,2023,666,3771,2827,1,2,82,4
9,30,2022,969,1393,1202,0,0,1,11
1,11,2022,781,151,122,5,9,1,13
2,8,2023,542,1882,1646,6,0,0,6
1,13,2023,901,10951,7620,91,6,1,98
8,3,2023,608,12277,10712,28,21,1487,263
11,16,2023,791,2292,1990,0,1,42,8
11,14,2023,491,2776,2497,0,2,53,15
